review_id,source,rating,review_text
1,Amazon,5,"The coffee beans arrived fresh and the flavor is bold yet smooth. My mornings are now delightful."
2,Amazon,2,"Shipping took almost two weeks and the package looked crushed when it finally showed up."
3,Yelp,4,"Loved the friendly staff and the quick service. The lattes were perfectly frothed and balanced."
4,Yelp,1,"Tables were sticky, music was too loud, and no one cleaned up the spilled drinks for half an hour."
5,Shopify,3,"Decent tea sampler but the tins are tiny compared to the photos."
6,Amazon,5,"Great aroma and rich taste. I brew it cold and the flavor really shines through."
7,Yelp,2,"Good desserts but the waiting time was ridiculous even with many empty tables."
8,Amazon,1,"The box was open when it arrived and half the cookies were broken into crumbs."
9,Shopify,4,"Customer support answered my emails within minutes and helped me swap flavors."
10,Yelp,5,"Best chai latte in town. Cozy atmosphere and the pastries are fresh and flaky."
11,Amazon,3,"Packaging was secure but the grinder jammed twice in the first week of use."
12,Yelp,2,"Our order was wrong and the barista argued with us instead of fixing it."
13,Shopify,5,"Beautiful gift wrapping and the handwritten note made my sister's day."
14,Amazon,4,"Fast delivery and the beans work well with my espresso machine."
15,Yelp,3,"Average coffee, but the rooftop view at sunset is worth a visit."
16,Amazon,2,"Flavor is weak unless you double the scoops. Not worth the price for me."
17,Shopify,1,"Still waiting for a shipping confirmation a week later. Customer portal keeps crashing."
18,Yelp,4,"Great taste in every drink and friendly baristas. Wish there were more vegan pastry options."
19,Amazon,5,"Comes with a reusable canister and scoop. Excellent quality for gifting."
20,Yelp,1,"We waited 25 minutes for iced tea and it tasted like tap water."
